question,answer,context,result,model_name,temperature,error
What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT Location, Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",gpt-3.5-turbo-0125,0.0,
What is the maximum capacity and the average of all stadiums ?,"select max(capacity), average from stadium","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT MAX(Capacity) AS Maximum_Capacity, AVG(Capacity) AS Average_Capacity FROM stadium",gpt-3.5-turbo-0125,0.0,
What is the average and maximum capacities for all stadiums ?,"select avg(capacity) ,  max(capacity) from stadium","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT AVG(Capacity) AS Average_Capacity, MAX(Capacity) AS Maximum_Capacity FROM stadium",gpt-3.5-turbo-0125,0.0,
What is the name and capacity for the stadium with highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)",gpt-3.5-turbo-0125,0.0,
What is the name and capacity for the stadium with the highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT Name, Capacity FROM stadium WHERE Average = (SELECT MAX(Average) FROM stadium)",gpt-3.5-turbo-0125,0.0,
How many concerts are there in year 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))",SELECT COUNT(*) FROM concerts WHERE year = 2014 OR year = 2015,gpt-3.5-turbo-0125,0.0,
How many concerts occurred in 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))",SELECT COUNT(*) FROM concerts WHERE year = 2014 OR year = 2015,gpt-3.5-turbo-0125,0.0,
Show the stadium name and the number of concerts in each stadium.,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT s.Name AS Stadium_Name, COUNT(c.Concert_ID) AS Number_of_Concerts FROM stadium s LEFT JOIN concert c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Name;",gpt-3.5-turbo-0125,0.0,
"For each stadium, how many concerts play there?","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT s.Name AS Stadium, COUNT(c.Concert_ID) AS Num_Concerts_Played FROM stadium s LEFT JOIN concert c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Name;",gpt-3.5-turbo-0125,0.0,
Show the stadium name and capacity with most number of concerts in year 2014 or after.,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT Name, Capacity FROM stadium WHERE Highest >= 2014 ORDER BY Highest DESC LIMIT 1",gpt-3.5-turbo-0125,0.0,
What is the name and capacity of the stadium with the most concerts after 2013 ?,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT Name, Capacity FROM stadium WHERE Highest > 2013 ORDER BY Highest DESC LIMIT 1",gpt-3.5-turbo-0125,0.0,
Which year has most number of concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID"")); CREATE TABLE ""stadium"" (""Stadium_ID"" int,""Location"" text,""Name"" text,""Capacity"" int,""Highest"" int,""Lowest"" int,""Average"" int,PRIMARY KEY (""Stadium_ID""))","SELECT year, COUNT(*) AS num_concerts FROM concerts GROUP BY year ORDER BY num_concerts DESC LIMIT 1;",gpt-3.5-turbo-0125,0.0,
